portid,year,month,portname,mean_n_total,median_n_total,std_n_total,cv_n_total,mean_n_tanker,tanker_share,mean_capacity,mean_capacity_tanker,tanker_capacity_share,mean_n_container,mean_n_dry_bulk,mean_n_general_cargo,mean_n_cargo,disruption_frequency_total,disruption_frequency_tanker,strong_disruption_frequency_total,strong_disruption_frequency_tanker,max_drop_n_total,max_drop_n_tanker,observed_days,estimated_7d_lost_vessels,estimated_14d_lost_vessels,estimated_30d_lost_vessels,estimated_7d_lost_tankers,estimated_14d_lost_tankers,estimated_30d_lost_tankers,estimated_7d_lost_capacity,estimated_14d_lost_capacity,estimated_30d_lost_capacity,estimated_7d_lost_tanker_capacity,estimated_14d_lost_tanker_capacity,estimated_30d_lost_tanker_capacity,criticality_score,criticality_class
chokepoint4,2022,6,Bab el-Mandeb Strait,66.1,67.5,6.36991852922512,0.09636790513199879,22.366666666666667,0.33837619768028243,3061481.7666666666,1138864.7666666666,0.37199789300285774,17.533333333333335,17.533333333333335,5.633333333333334,43.733333333333334,0.0,0.0,0.0,0.0,0.1850333162480779,0.3129770992366412,30,462.69999999999993,925.3999999999999,1982.9999999999998,156.56666666666666,313.1333333333333,671.0,21430372.366666667,42860744.733333334,91844453.0,7972053.366666666,15944106.733333332,34165943.0,26.186,2
chokepoint4,2022,7,Bab el-Mandeb Strait,67.87096774193549,68.0,7.255994925962353,0.1069086704870879,23.387096774193548,0.3445817490494296,3144347.0322580645,1170143.7741935484,0.3721420575365778,18.322580645161292,17.322580645161292,5.225806451612903,44.483870967741936,0.0,0.0,0.0,0.0,0.15662650602409645,0.3150684931506849,31,475.0967741935484,950.1935483870968,2036.1290322580646,163.70967741935485,327.4193548387097,701.6129032258065,22010429.225806452,44020858.451612905,94330410.96774194,8191006.419354838,16382012.838709677,35104313.22580645,26.851,2
chokepoint4,2022,8,Bab el-Mandeb Strait,69.6774193548387,71.0,6.96365371900984,0.09994132652282642,23.612903225806452,0.3388888888888889,3204448.2580645164,1163294.6451612904,0.3630249426663919,19.322580645161292,18.35483870967742,4.774193548387097,46.064516129032256,0.0,0.0,0.0,0.0,0.1646311675622863,0.38953488372093026,31,487.7419354838709,975.4838709677418,2090.322580645161,165.29032258064515,330.5806451612903,708.3870967741935,22431137.806451615,44862275.61290323,96133447.74193549,8143062.516129033,16286125.032258065,34898839.354838714,27.082,2
chokepoint4,2022,9,Bab el-Mandeb Strait,70.26666666666667,69.5,5.800911541528941,0.08255566709955799,24.433333333333334,0.34772296015180265,3162406.3666666667,1234560.3666666667,0.3903863778164457,17.833333333333332,18.566666666666666,5.666666666666667,45.833333333333336,0.0,0.0,0.0,0.0,0.14122137404580146,0.3451568894952251,30,491.8666666666667,983.7333333333333,2108.0,171.03333333333333,342.06666666666666,733.0,22136844.566666666,44273689.13333333,94872191.0,8641922.566666666,17283845.133333333,37036811.0,27.54,2
chokepoint4,2022,10,Bab el-Mandeb Strait,70.38709677419355,69.0,7.4640356347614825,0.10604266942145094,24.29032258064516,0.34509624197983496,3147232.3225806453,1204016.1935483871,0.3825634939339739,17.93548387096774,19.225806451612904,4.580645161290323,46.096774193548384,0.03225806451612903,0.0,0.0,0.0,0.20977011494252867,0.36619718309859156,31,492.7096774193549,985.4193548387098,2111.6129032258063,170.03225806451613,340.06451612903226,728.7096774193548,22030626.258064516,44061252.51612903,94416969.67741936,8428113.35483871,16856226.70967742,36120485.80645161,28.696,2
chokepoint4,2022,11,Bab el-Mandeb Strait,73.06666666666666,73.0,8.444273037179505,0.11556943025336915,24.8,0.3394160583941606,3291036.9,1228133.6333333333,0.37317528506998304,18.766666666666666,19.8,5.6,48.266666666666666,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.23928077455048408,0.6321525885558583,30,511.46666666666664,1022.9333333333333,2192.0,173.6,347.2,744.0,23037258.3,46074516.6,98731107.0,8596935.433333334,17193870.866666667,36844009.0,29.45,2
chokepoint4,2022,12,Bab el-Mandeb Strait,70.90322580645162,72.0,6.987392640604828,0.09854830384838474,25.29032258064516,0.35668789808917195,3245653.4838709678,1264565.8064516129,0.3896182425929872,17.06451612903226,19.580645161290324,4.903225806451613,45.61290322580645,0.0,0.0,0.0,0.0,0.17469050894085286,0.3478260869565218,31,496.32258064516134,992.6451612903227,2127.0967741935483,177.03225806451613,354.06451612903226,758.7096774193548,22719574.387096774,45439148.77419355,97369604.51612903,8851960.64516129,17703921.29032258,37936974.19354839,28.118,2
chokepoint4,2023,1,Bab el-Mandeb Strait,71.41935483870968,72.0,8.732216952368155,0.12226681369621174,25.096774193548388,0.35140018066847334,3216057.2258064514,1252749.3548387096,0.3895295596068173,17.258064516129032,19.032258064516128,6.032258064516129,46.32258064516129,0.0,0.03225806451612903,0.0,0.0,0.21678321678321677,0.4642857142857143,31,499.93548387096774,999.8709677419355,2142.5806451612902,175.67741935483872,351.35483870967744,752.9032258064516,22512400.58064516,45024801.16129032,96481716.77419354,8769245.483870966,17538490.967741933,37582480.645161286,27.955,2
chokepoint4,2023,2,Bab el-Mandeb Strait,70.10714285714286,68.0,8.93739246799558,0.12748190988480704,24.857142857142858,0.35455934793683136,3185262.9285714286,1270941.8214285714,0.39900687947245256,17.25,18.75,5.678571428571429,45.25,0.0,0.0,0.0,0.0,0.23907937999060594,0.28665785997357995,28,490.75,981.5,2103.214285714286,174.0,348.0,745.7142857142858,22296840.5,44593681.0,95557887.85714287,8896592.75,17793185.5,38128254.64285714,27.875,2
chokepoint4,2023,3,Bab el-Mandeb Strait,72.93548387096774,72.0,8.906684695107632,0.12211730453265661,25.967741935483872,0.3560371517027864,3424134.806451613,1350983.2580645161,0.3945473336853004,18.129032258064516,19.129032258064516,5.612903225806452,46.96774193548387,0.03225806451612903,0.0,0.0,0.0,0.2630057803468208,0.38101788170563966,31,510.5483870967742,1021.0967741935484,2188.064516129032,181.7741935483871,363.5483870967742,779.0322580645161,23968943.645161293,47937887.29032259,102724044.1935484,9456882.806451613,18913765.612903226,40529497.741935484,30.63,2
